ID,Age,Genre,Education,Pays,Nscore,Escore,Oscore,Ascore,Cscore,Impulsivite,Sensations,Cannabis,Cannabis_recode,Sans_diplome,Genre_num
34,18,Homme,Diplome universitaire,Royaume-Unis,40,38,47,51,41,-0.71126,-1.5485799999999998,non,0,0,0
35,35,Homme,Diplome universitaire,Etats-Unis,46,44,51,23,36,0.52975,1.92173,oui,1,0,0
36,65,Homme,Quitte ecole avant 16 ans,Royaume-Unis,33,34,27,41,36,0.52975,-1.5485799999999998,non,0,1,0
37,35,Homme,Diplome universitaire,Royaume-Unis,33,36,44,43,30,-0.21711999999999998,-0.21575,non,0,0,0
38,55,Homme,Quitte ecole avant 16 ans,Etats-Unis,39,42,52,44,37,0.52975,-0.52593,oui,1,1,0
39,45,Homme,Diplome universitaire,Royaume-Unis,22,48,47,43,47,-0.21711999999999998,-0.8463700000000001,non,0,0,0
40,65,Femme,Diplome professionnel,Royaume-Unis,33,33,37,38,45,-1.37983,-0.21575,non,0,0,1
41,35,Homme,Maitrise,Royaume-Unis,36,37,45,29,47,-0.71126,0.07987000000000001,non,0,0,0
42,35,Femme,Diplome universitaire,Royaume-Unis,44,40,52,54,39,-0.21711999999999998,-0.21575,non,0,0,1
43,35,Homme,Maitrise,Royaume-Unis,34,33,36,43,37,-0.21711999999999998,-0.52593,oui,1,0,0
44,35,Homme,Diplome professionnel,Royaume-Unis,27,36,43,42,34,-0.21711999999999998,-0.21575,oui,1,0,0
45,25,Homme,Diplome universitaire,Royaume-Unis,26,49,48,51,48,-0.21711999999999998,0.07987000000000001,non,0,0,0
46,25,Femme,Diplome universitaire,Royaume-Unis,31,43,53,49,52,-1.37983,-2.07848,non,0,0,1
47,45,Femme,Quitte Lycee ou universite sans diplome,Canada,39,44,37,45,51,-0.71126,-0.8463700000000001,non,0,1,1
48,45,Homme,Maitrise,Royaume-Unis,19,45,47,49,49,-2.55524,-1.18084,non,0,0,0
49,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,37,34,43,42,37,0.19268,-0.8463700000000001,oui,1,1,0
50,25,Femme,Maitrise,Royaume-Unis,44,36,31,37,44,0.52975,1.2247,non,0,0,1
51,35,Homme,Maitrise,Royaume-Unis,46,39,44,35,42,-0.71126,-0.8463700000000001,oui,1,0,0
52,45,Homme,Diplome professionnel,Canada,47,46,41,37,27,1.8620299999999999,1.92173,oui,1,0,0
53,55,Femme,Diplome universitaire,Royaume-Unis,34,40,35,45,36,0.52975,-1.5485799999999998,non,0,0,1
54,45,Homme,Maitrise,Royaume-Unis,23,39,52,45,44,-0.21711999999999998,-0.21575,non,0,0,0
55,55,Homme,Quitte ecole a 16 ans,Royaume-Unis,36,47,41,36,33,1.29221,1.2247,oui,1,1,0
56,55,Femme,Diplome professionnel,Royaume-Unis,36,35,37,40,39,-1.37983,-2.07848,non,0,0,1
57,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,36,40,33,43,44,-1.37983,-1.5485799999999998,non,0,1,1
58,25,Femme,Diplome universitaire,Royaume-Unis,30,44,31,45,47,-0.71126,-0.52593,non,0,0,1
59,45,Homme,Quitte ecole a 18 ans,Royaume-Unis,38,44,45,40,39,1.8620299999999999,1.2247,oui,1,1,0
60,45,Homme,Diplome universitaire,Royaume-Unis,31,31,36,32,41,-1.37983,-1.5485799999999998,non,0,0,0
61,25,Femme,Doctorat,Royaume-Unis,49,42,47,41,40,-1.37983,0.07987000000000001,non,0,0,1
62,45,Homme,Maitrise,Royaume-Unis,18,50,53,44,50,-1.37983,-1.18084,non,0,0,0
63,25,Homme,Diplome universitaire,Royaume-Unis,30,30,32,34,45,-1.37983,-1.18084,non,0,0,0
64,45,Homme,Diplome universitaire,Royaume-Unis,46,38,40,39,42,-1.37983,-1.18084,non,0,0,0
65,45,Homme,Doctorat,Royaume-Unis,22,43,52,40,48,-1.37983,-0.52593,oui,1,0,0
66,35,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,43,43,39,50,46,0.52975,-0.21575,non,0,1,0
67,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,26,35,37,51,45,-0.71126,-1.18084,non,0,1,0
68,25,Homme,Maitrise,Royaume-Unis,32,38,52,37,41,0.88113,-0.21575,oui,1,0,0
69,35,Homme,Diplome professionnel,Autre,27,40,47,42,40,-0.21711999999999998,0.07987000000000001,oui,1,0,0
70,45,Femme,Quitte ecole a 16 ans,Royaume-Unis,35,35,33,45,42,-1.37983,-0.8463700000000001,non,0,1,1
71,25,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,32,38,46,30,40,0.52975,0.7654,oui,1,1,0
72,45,Femme,Quitte ecole a 18 ans,Canada,31,47,43,50,43,-2.55524,-0.8463700000000001,non,0,1,1
73,45,Homme,Quitte ecole a 18 ans,Royaume-Unis,22,46,45,46,48,0.19268,0.40148,non,0,1,0
74,45,Homme,Diplome professionnel,Royaume-Unis,29,36,43,45,49,-0.71126,-0.21575,non,0,0,0
75,65,Femme,Quitte ecole a 16 ans,Royaume-Unis,25,27,26,33,44,0.52975,-2.07848,non,0,1,1
76,25,Homme,Diplome universitaire,Royaume-Unis,34,41,34,38,39,0.52975,-0.21575,non,0,0,0
77,45,Femme,Quitte ecole a 17 ans,Canada,32,35,34,46,46,-2.55524,-2.07848,non,0,1,1
78,35,Homme,Diplome universitaire,Royaume-Unis,37,28,41,35,39,-0.21711999999999998,-2.07848,oui,1,0,0
79,35,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,28,34,30,32,25,-2.55524,-1.18084,non,0,1,0
80,35,Homme,Diplome professionnel,Royaume-Unis,32,34,31,50,37,-0.21711999999999998,-0.21575,non,0,0,0
81,65,Femme,Doctorat,Canada,36,42,48,42,51,-0.21711999999999998,-0.21575,non,0,0,1
82,55,Femme,Diplome universitaire,Royaume-Unis,28,31,45,37,41,0.88113,0.40148,oui,1,0,1
83,55,Homme,Maitrise,Canada,19,49,38,47,51,-0.21711999999999998,-1.18084,non,0,0,0
84,55,Femme,Quitte ecole a 17 ans,Royaume-Unis,46,33,37,52,29,0.19268,-0.21575,non,0,1,1
85,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,32,41,43,41,41,-1.37983,0.07987000000000001,oui,1,1,0
86,25,Femme,Quitte ecole a 18 ans,Royaume-Unis,31,40,34,44,45,0.52975,1.2247,non,0,1,1
87,35,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,43,39,37,44,41,-0.21711999999999998,0.40148,non,0,1,0
88,55,Homme,Quitte ecole a 16 ans,Royaume-Unis,27,41,42,41,44,-0.71126,0.40148,non,0,1,0
89,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,39,26,35,38,38,-1.37983,-2.07848,oui,1,1,1
90,35,Femme,Maitrise,Royaume-Unis,45,36,47,39,40,0.52975,-0.21575,non,0,0,1
91,35,Femme,Maitrise,Royaume-Unis,49,42,50,45,36,-1.37983,0.07987000000000001,oui,1,0,1
92,35,Homme,Diplome professionnel,Canada,40,37,50,45,47,0.88113,0.7654,non,0,0,0
93,25,Homme,Quitte ecole a 18 ans,Royaume-Unis,22,38,42,45,42,-0.71126,-0.8463700000000001,non,0,1,0
94,65,Femme,Quitte ecole a 16 ans,Royaume-Unis,34,34,38,48,45,-1.37983,-1.5485799999999998,non,0,1,1
95,45,Homme,Maitrise,Royaume-Unis,29,36,38,47,41,-1.37983,-2.07848,oui,1,0,0
96,45,Homme,Maitrise,Royaume-Unis,31,42,52,32,49,0.52975,-0.21575,non,0,0,0
97,35,Femme,Diplome universitaire,Canada,37,32,47,42,47,-1.37983,-1.5485799999999998,oui,1,0,1
98,45,Femme,Maitrise,Royaume-Unis,31,44,43,39,33,0.19268,-0.8463700000000001,non,0,0,1
99,35,Homme,Doctorat,Canada,25,37,45,39,48,-0.21711999999999998,1.2247,non,0,0,0
100,25,Femme,Diplome universitaire,Royaume-Unis,29,57,50,49,52,0.52975,0.40148,oui,1,0,1
101,25,Homme,Maitrise,Autre,26,55,49,33,39,-0.21711999999999998,1.2247,oui,1,0,0
102,45,Femme,Quitte ecole a 16 ans,Australie,30,43,33,42,48,-1.37983,-0.8463700000000001,non,0,1,1
103,45,Homme,Quitte ecole a 18 ans,Royaume-Unis,30,48,54,34,42,-0.71126,1.2247,non,0,1,0
104,45,Femme,Diplome professionnel,Canada,36,44,43,41,43,0.19268,0.7654,non,0,0,1
105,25,Femme,Quitte Lycee ou universite sans diplome,Canada,27,41,44,50,46,-0.71126,0.07987000000000001,oui,1,1,1
106,35,Homme,Diplome professionnel,Royaume-Unis,18,43,32,38,54,-1.37983,-1.5485799999999998,non,0,0,0
107,25,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,46,38,32,45,39,-1.37983,-0.8463700000000001,non,0,1,1
108,35,Femme,Quitte ecole a 16 ans,Royaume-Unis,37,40,36,38,46,0.52975,-0.21575,non,0,1,1
109,25,Femme,Diplome universitaire,Royaume-Unis,31,53,46,44,47,1.8620299999999999,1.2247,oui,1,0,1
110,45,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,28,43,35,37,38,-0.71126,0.07987000000000001,oui,1,1,1
111,45,Homme,Maitrise,Royaume-Unis,34,42,46,41,41,0.19268,-0.52593,non,0,0,0
112,25,Homme,Maitrise,Royaume-Unis,39,32,39,39,37,0.19268,0.40148,oui,1,0,0
113,25,Femme,Diplome universitaire,Royaume-Unis,25,42,51,35,36,-0.21711999999999998,-0.21575,oui,1,0,1
114,45,Femme,Diplome professionnel,Royaume-Unis,36,44,47,44,47,0.19268,-0.21575,oui,1,0,1
115,35,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,17,52,54,38,31,1.8620299999999999,1.2247,oui,1,1,0
116,25,Femme,Diplome professionnel,Canada,38,36,39,45,49,-1.37983,-2.07848,oui,1,0,1
117,35,Homme,Diplome professionnel,Canada,42,36,46,31,39,0.52975,-0.21575,oui,1,0,0
118,25,Femme,Diplome universitaire,Royaume-Unis,51,45,54,44,33,0.52975,0.40148,non,0,0,1
119,35,Femme,Quitte Lycee ou universite sans diplome,Etats-Unis,53,26,28,50,44,-0.21711999999999998,-1.5485799999999998,non,0,1,1
120,35,Femme,Diplome universitaire,Royaume-Unis,32,44,38,45,51,-0.21711999999999998,-0.8463700000000001,non,0,0,1
121,25,Femme,Maitrise,Royaume-Unis,26,44,38,36,47,0.19268,1.92173,non,0,0,1
122,35,Femme,Diplome professionnel,Royaume-Unis,50,31,34,29,36,0.52975,0.07987000000000001,non,0,0,1
123,55,Homme,Maitrise,Royaume-Unis,38,41,44,41,35,-0.21711999999999998,-0.52593,non,0,0,0
124,25,Femme,Diplome universitaire,Royaume-Unis,38,35,42,43,43,1.29221,0.07987000000000001,oui,1,0,1
125,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,32,52,47,46,46,-0.21711999999999998,-0.21575,non,0,1,0
126,55,Homme,Diplome universitaire,Royaume-Unis,31,48,48,44,49,0.52975,0.40148,non,0,0,0
127,45,Homme,Diplome universitaire,Royaume-Unis,25,44,37,40,42,-0.21711999999999998,-0.8463700000000001,non,0,0,0
128,45,Femme,Quitte ecole a 17 ans,Royaume-Unis,32,34,39,45,48,-1.37983,-2.07848,non,0,1,1
129,35,Homme,Doctorat,Royaume-Unis,36,44,46,44,44,-0.21711999999999998,-1.18084,non,0,0,0
130,45,Femme,Maitrise,Royaume-Unis,28,46,37,49,45,0.19268,0.40148,non,0,0,1
131,45,Femme,Quitte ecole a 16 ans,Royaume-Unis,45,42,35,46,55,-0.71126,-1.18084,non,0,1,1
132,45,Femme,Quitte ecole a 16 ans,Royaume-Unis,22,39,36,57,46,-1.37983,-2.07848,non,0,1,1
133,35,Femme,Quitte ecole a 18 ans,Irelande,33,36,41,42,44,-1.37983,-1.5485799999999998,non,0,1,1
134,35,Homme,Maitrise,Royaume-Unis,35,41,47,42,43,0.52975,0.40148,non,0,0,0
135,25,Femme,Maitrise,Royaume-Unis,60,29,43,47,37,-1.37983,0.40148,non,0,0,1
136,35,Femme,Quitte ecole a 16 ans,Royaume-Unis,21,50,41,54,52,0.52975,-0.52593,non,0,1,1
137,45,Femme,Diplome universitaire,Royaume-Unis,34,38,33,54,52,1.29221,0.07987000000000001,non,0,0,1
138,45,Femme,Diplome universitaire,Royaume-Unis,25,50,47,48,45,-2.55524,-1.18084,non,0,0,1
139,55,Homme,Diplome universitaire,Royaume-Unis,31,34,46,45,48,-1.37983,-1.18084,non,0,0,0
140,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,35,42,41,49,40,-0.21711999999999998,-0.21575,non,0,1,0
141,25,Femme,Diplome universitaire,Royaume-Unis,54,42,54,49,40,-0.71126,-0.21575,non,0,0,1
142,35,Femme,Quitte ecole a 16 ans,Royaume-Unis,28,44,37,51,46,-1.37983,-2.07848,non,0,1,1
143,35,Homme,Quitte ecole a 17 ans,Royaume-Unis,31,38,36,45,41,0.52975,0.40148,non,0,1,0
144,35,Homme,Diplome professionnel,Royaume-Unis,21,48,41,51,54,-0.71126,-0.52593,non,0,0,0
145,45,Homme,Diplome professionnel,Canada,37,32,42,35,42,-0.21711999999999998,0.7654,oui,1,0,0
146,45,Femme,Diplome universitaire,Royaume-Unis,31,41,37,56,47,1.29221,0.40148,non,0,0,1
147,55,Homme,Diplome professionnel,Royaume-Unis,38,31,44,40,40,0.19268,-1.18084,non,0,0,0
148,35,Homme,Maitrise,Royaume-Unis,30,43,40,44,48,-0.21711999999999998,-0.52593,non,0,0,0
149,35,Femme,Diplome professionnel,Royaume-Unis,35,32,27,37,44,-1.37983,-1.5485799999999998,non,0,0,1
150,45,Femme,Diplome universitaire,Royaume-Unis,28,52,40,55,52,-0.21711999999999998,-1.18084,oui,1,0,1
151,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,33,48,46,47,49,0.19268,0.07987000000000001,non,0,1,1
152,35,Femme,Diplome universitaire,Royaume-Unis,41,28,32,46,35,-0.71126,-0.8463700000000001,oui,1,0,1
153,25,Femme,Diplome universitaire,Royaume-Unis,31,29,40,39,37,-2.55524,-1.5485799999999998,oui,1,0,1
154,25,Homme,Diplome universitaire,Royaume-Unis,29,46,33,48,47,-0.21711999999999998,-0.52593,non,0,0,0
155,18,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,59,30,50,40,46,-0.21711999999999998,0.7654,non,0,1,1
156,35,Femme,Diplome universitaire,Royaume-Unis,42,30,36,45,40,-0.71126,-0.8463700000000001,non,0,0,1
157,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,48,40,43,50,43,0.19268,-0.52593,oui,1,1,1
158,25,Homme,Quitte ecole a 16 ans,Royaume-Unis,26,47,32,40,47,-0.21711999999999998,0.7654,non,0,1,0
159,35,Femme,Diplome universitaire,Australie,33,41,43,41,45,0.88113,1.2247,non,0,0,1
160,45,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,31,36,41,44,44,-0.21711999999999998,-1.18084,non,0,1,1
161,45,Homme,Maitrise,Autre,46,45,48,42,44,-0.21711999999999998,0.40148,oui,1,0,0
162,35,Homme,Diplome universitaire,Royaume-Unis,29,42,39,54,39,-0.71126,-1.18084,non,0,0,0
163,25,Femme,Diplome universitaire,Nouvelle-Zelande,38,40,44,53,48,-1.37983,-0.21575,oui,1,0,1
164,25,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,53,40,43,49,43,-0.21711999999999998,-0.8463700000000001,non,0,1,1
165,25,Femme,Doctorat,Royaume-Unis,37,42,34,52,49,-1.37983,-0.52593,non,0,0,1
166,45,Homme,Maitrise,Royaume-Unis,33,38,43,40,52,-1.37983,-0.8463700000000001,non,0,0,0
167,18,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,50,31,50,27,27,0.88113,0.07987000000000001,oui,1,1,0
168,25,Femme,Diplome professionnel,Royaume-Unis,36,40,38,40,48,0.52975,-0.52593,non,0,0,1
169,25,Femme,Diplome universitaire,Royaume-Unis,38,48,36,41,33,0.52975,0.40148,non,0,0,1
170,18,Femme,Quitte ecole a 18 ans,Royaume-Unis,32,40,35,47,41,-0.71126,0.40148,non,0,1,1
171,45,Homme,Quitte ecole a 16 ans,Royaume-Unis,49,38,43,44,41,0.88113,0.40148,oui,1,1,0
172,35,Homme,Maitrise,Royaume-Unis,32,46,57,48,36,1.29221,1.92173,non,0,0,0
173,45,Femme,Diplome professionnel,Royaume-Unis,41,36,42,40,47,0.19268,-1.18084,oui,1,0,1
174,35,Femme,Diplome universitaire,Royaume-Unis,46,44,53,44,44,0.52975,0.40148,non,0,0,1
175,35,Femme,Diplome professionnel,Royaume-Unis,46,36,29,48,30,0.88113,0.07987000000000001,non,0,0,1
176,55,Femme,Diplome universitaire,Royaume-Unis,42,40,48,51,43,0.19268,0.07987000000000001,non,0,0,1
177,35,Femme,Diplome universitaire,Royaume-Unis,34,36,39,35,38,-1.37983,-1.18084,non,0,0,1
178,35,Femme,Diplome universitaire,Royaume-Unis,50,40,36,37,49,-0.71126,-0.52593,non,0,0,1
179,45,Femme,Diplome universitaire,Royaume-Unis,44,33,42,48,41,0.19268,-0.21575,non,0,0,1
180,35,Femme,Diplome professionnel,Royaume-Unis,40,39,38,50,37,-1.37983,-1.18084,oui,1,0,1
181,45,Femme,Diplome professionnel,Royaume-Unis,39,44,34,45,48,0.19268,0.07987000000000001,non,0,0,1
182,25,Homme,Doctorat,Royaume-Unis,24,37,43,47,48,-0.71126,-1.18084,non,0,0,0
183,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,39,45,43,51,47,-1.37983,-1.18084,non,0,1,1
184,18,Femme,Diplome universitaire,Royaume-Unis,54,37,47,38,48,-0.71126,0.40148,non,0,0,1
185,55,Homme,Quitte ecole a 18 ans,Royaume-Unis,36,34,38,47,44,-1.37983,-1.18084,non,0,1,0
186,35,Femme,Diplome universitaire,Canada,39,44,45,48,41,-0.21711999999999998,-0.52593,oui,1,0,1
187,35,Femme,Maitrise,Royaume-Unis,29,49,46,45,53,-1.37983,-1.5485799999999998,non,0,0,1
188,55,Femme,Quitte ecole a 16 ans,Royaume-Unis,28,34,31,50,46,-1.37983,-1.5485799999999998,non,0,1,1
189,45,Femme,Quitte ecole a 16 ans,Royaume-Unis,40,30,30,47,40,-1.37983,-2.07848,non,0,1,1
190,18,Femme,Maitrise,Royaume-Unis,32,40,42,44,47,-0.71126,-0.8463700000000001,oui,1,0,1
191,55,Femme,Diplome professionnel,Royaume-Unis,23,40,39,47,40,-0.71126,-1.5485799999999998,non,0,0,1
192,18,Homme,Diplome universitaire,Royaume-Unis,32,48,37,47,38,0.52975,0.07987000000000001,oui,1,0,0
193,25,Femme,Diplome professionnel,Canada,28,38,44,45,38,0.88113,0.07987000000000001,oui,1,0,1
194,45,Femme,Diplome universitaire,Royaume-Unis,39,32,42,44,43,-1.37983,0.07987000000000001,non,0,0,1
195,25,Femme,Diplome universitaire,Canada,27,48,45,43,45,-0.71126,-1.18084,oui,1,0,1
196,55,Femme,Diplome universitaire,Royaume-Unis,42,42,50,41,48,0.52975,0.07987000000000001,oui,1,0,1
197,18,Homme,Diplome universitaire,Royaume-Unis,30,42,41,51,35,0.19268,-1.18084,non,0,0,0
198,55,Femme,Diplome universitaire,Royaume-Unis,32,43,40,37,38,-0.71126,-0.8463700000000001,non,0,0,1
199,25,Femme,Diplome professionnel,Royaume-Unis,35,43,49,48,42,1.8620299999999999,1.2247,oui,1,0,1
200,45,Femme,Diplome professionnel,Royaume-Unis,31,54,50,54,50,0.52975,0.07987000000000001,oui,1,0,1
201,18,Femme,Diplome universitaire,Royaume-Unis,30,41,39,50,51,0.52975,1.2247,non,0,0,1
202,35,Homme,Maitrise,Royaume-Unis,34,33,41,34,50,-0.71126,-0.8463700000000001,oui,1,0,0
203,35,Femme,Diplome universitaire,Royaume-Unis,29,48,42,49,49,0.19268,-0.8463700000000001,non,0,0,1
204,65,Homme,Quitte ecole avant 16 ans,Royaume-Unis,22,32,28,37,37,-1.37983,-2.07848,non,0,1,0
205,25,Femme,Diplome universitaire,Royaume-Unis,34,46,53,43,44,-0.21711999999999998,0.40148,oui,1,0,1
206,35,Femme,Quitte ecole a 16 ans,Royaume-Unis,34,47,47,37,34,1.8620299999999999,0.40148,non,0,1,1
207,18,Femme,Diplome universitaire,Royaume-Unis,35,48,49,44,45,0.88113,0.07987000000000001,non,0,0,1
208,35,Femme,Diplome professionnel,Royaume-Unis,29,43,41,47,41,-0.21711999999999998,0.40148,oui,1,0,1
209,35,Femme,Diplome universitaire,Royaume-Unis,37,40,44,41,42,0.52975,1.2247,oui,1,0,1
210,25,Homme,Maitrise,Royaume-Unis,23,43,52,40,49,-1.37983,-0.8463700000000001,non,0,0,0
211,25,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,43,41,35,43,32,1.8620299999999999,0.7654,non,0,1,1
212,45,Femme,Quitte ecole a 16 ans,Royaume-Unis,29,36,37,50,48,-1.37983,-2.07848,non,0,1,1
213,25,Femme,Diplome professionnel,Royaume-Unis,37,44,39,54,46,-0.21711999999999998,-1.18084,non,0,0,1
214,45,Femme,Diplome professionnel,Irelande,41,39,36,49,43,-1.37983,-1.5485799999999998,non,0,0,1
215,25,Femme,Diplome professionnel,Royaume-Unis,34,47,48,51,50,0.19268,1.2247,oui,1,0,1
216,25,Femme,Diplome universitaire,Canada,51,38,40,50,39,0.19268,0.07987000000000001,oui,1,0,1
217,25,Femme,Diplome professionnel,Royaume-Unis,38,47,47,52,42,0.88113,0.7654,non,0,0,1
218,35,Homme,Diplome professionnel,Royaume-Unis,48,45,48,52,29,1.8620299999999999,0.7654,non,0,0,0
219,25,Femme,Maitrise,Autre,39,47,39,36,47,-0.21711999999999998,-0.52593,oui,1,0,1
220,35,Femme,Quitte Lycee ou universite sans diplome,Royaume-Unis,32,36,46,50,44,-1.37983,-0.8463700000000001,non,0,1,1
221,18,Femme,Diplome universitaire,Royaume-Unis,44,38,47,43,43,0.19268,0.07987000000000001,oui,1,0,1
222,25,Femme,Diplome universitaire,Royaume-Unis,34,43,42,38,48,0.52975,-0.52593,non,0,0,1
223,35,Femme,Diplome universitaire,Royaume-Unis,33,44,50,50,44,1.29221,1.2247,oui,1,0,1
224,55,Homme,Diplome universitaire,Royaume-Unis,25,47,43,50,48,-0.21711999999999998,0.07987000000000001,non,0,0,0
225,45,Femme,Diplome universitaire,Royaume-Unis,31,49,47,46,47,-0.21711999999999998,-0.21575,non,0,0,1
226,35,Femme,Diplome universitaire,Royaume-Unis,24,44,51,40,44,-1.37983,-1.5485799999999998,non,0,0,1
227,45,Femme,Diplome universitaire,Royaume-Unis,31,43,40,52,51,-0.21711999999999998,-0.8463700000000001,non,0,0,1
228,18,Homme,Quitte Lycee ou universite sans diplome,Royaume-Unis,38,46,38,39,46,1.29221,0.40148,oui,1,1,0
229,45,Homme,Maitrise,Royaume-Unis,29,42,45,38,41,0.19268,0.07987000000000001,oui,1,0,0
230,45,Femme,Diplome universitaire,Royaume-Unis,26,49,46,49,52,-1.37983,-2.07848,non,0,0,1
231,35,Femme,Diplome professionnel,Royaume-Unis,46,23,32,47,45,-1.37983,-1.5485799999999998,non,0,0,1
232,65,Femme,Maitrise,Royaume-Unis,37,32,42,40,44,-0.21711999999999998,-1.5485799999999998,non,0,0,1
233,25,Femme,Diplome universitaire,Royaume-Unis,36,48,45,44,47,0.52975,0.7654,non,0,0,1
234,45,Homme,Diplome universitaire,Royaume-Unis,29,45,35,49,44,0.52975,0.40148,non,0,0,0
235,25,Femme,Diplome universitaire,Royaume-Unis,40,46,45,37,52,0.19268,0.40148,oui,1,0,1
236,25,Femme,Diplome professionnel,Royaume-Unis,36,46,36,56,54,-1.37983,-2.07848,non,0,0,1
